formula	Tf	Ax	Bx	Cx	Acn	Bcn	Ccn	Av	Bv	Cv	Air	Bir	Cir	Aav	Bav	Cav	Aced	Bced	Cced	Acp	Bcp	Ccp	Amac	Bmac	Cmac	Aap	Bap	Cap	Aen	Ben	Cen	DK
La4Ti9O24	15	0.11	0.24	0.65	9	8	2	3	4	-2	1.216	0.74	1.35	3.741	1.764	1.736	1.34	0.91	0.85	3.17	3.8	0	202	571	36.6	8.68	4.49	0.54	1	1.5	3.5	37
Ba5Ta4O15	12	0.21	0.17	0.62	12	6	2	2	5	-2	1.61	0.64	1.35	6.299	1.801	1.736	1.44	0.95	0.85	2.32	4.05	0	461	444	36.6	11.07	2.47	0.54	0.9	1.5	3.5	30
ZnTa2O6	9.5	0.11	0.22	0.67	6	8	2	2	5	-2	0.74	0.74	1.35	1.521	1.801	1.736	1.25	0.95	0.85	4.1	4.05	0	189	444	36.6	2.24	2.47	0.54	1.6	1.5	3.5	30.3
LaNbO4	9	0.17	0.17	0.67	8	8	2	3	5	-2	1.16	0.74	1.35	3.741	1.807	1.736	1.34	0.95	0.85	3.17	4.05	0	202	441	36.6	8.68	4.45	0.54	1	1.6	3.5	19.3
CaTa2O6	1	0.11	0.22	0.67	9	6	2	2	5	-2	1.32	0.64	1.35	4.633	1.801	1.736	1.25	0.95	0.85	2.55	4.05	0	468	444	36.6	6.22	2.47	0.54	1	1.5	3.5	21.2
ZrSiO4	-2	0.17	0.17	0.67	8	4	2	4	4	-2	0.84	0.26	1.35	2.328	2.002	1.736	0.98	1.18	0.85	3.45	4.7	0	419	189	36.6	4.63	2.19	0.54	1.4	1.8	3.5	7.4
Cu3Nb2O8	-4	0.23	0.15	0.62	6	6	2	2	5	-2	0.73	0.64	1.35	1.181	1.807	1.736	1.12	0.95	0.85	4.45	4.05	0	166	441	36.6	3.01	4.45	0.54	1.9	1.6	3.5	11.2
MgGa2O4	-4	0.14	0.29	0.57	6	6	2	2	3	-2	0.72	0.76	1.35	2.324	1.947	1.736	1.09	1.38	0.85	3.45	4.1	0	121	212	36.6	3.18	4.47	0.54	1.2	1.6	3.5	9.5
Li2MnO3	-5	0.33	0.17	0.5	6	6	2	1	4	-2	0.76	0.53	1.35	2.162	1.22	1.736	1.75	0.79	0.85	2.85	4.45	0	1.96	93	36.6	9.1	3.48	0.54	1	1.5	3.5	13.6
La2Ti2O7	-6	0.18	0.18	0.64	10	6	2	3	4	-2	1.27	0.605	1.35	3.741	1.764	1.736	1.34	0.91	0.85	3.17	3.8	0	202	571	36.6	8.68	4.49	0.54	1	1.5	3.5	43
PbWO4	-7	0.17	0.17	0.67	8	6	2	2	6	-2	1.29	0.6	1.35	3.034	1.586	1.736	1.43	0.92	0.85	4.1	4.8	0	579	458	36.6	4.16	2.4	0.54	1.9	1.7	3.5	21.4
LaLuO3	-7.5	0.2	0.2	0.6	8	6	2	3	3	-2	1.16	0.861	1.35	3.741	2.95	1.736	1.34	0.99	0.85	3.17	3.22	0	202	416	36.6	8.68	7.73	0.54	1	1.15	3.5	22.4
La4Ti3O12	-10	0.21	0.16	0.63	12	6	2	3	4	-2	1.36	0.605	1.35	3.741	1.764	1.736	1.34	0.91	0.85	3.17	3.8	0	202	571	36.6	8.68	4.49	0.54	1	1.5	3.5	19.7
Co4Nb2O9	-10	0.27	0.13	0.6	6	6	2	2	5	-2	0.7	0.64	1.35	1.108	1.807	1.736	0.71	0.95	0.85	5.1	4.05	0	125	441	36.6	3.01	4.45	0.54	1.9	1.6	3.5	16
Bi12TiO20	-11	0.36	0.03	0.61	8	8	2	3	4	-2	1.17	0.74	1.35	3.538	1.764	1.736	1.38	0.91	0.85	4.15	3.8	0	596	571	36.6	4.04	4.49	0.54	1.9	1.5	3.5	41
Yb3Ga5O12	-12	0.15	0.25	0.6	8	5	2	3	3	-2	0.985	0.55	1.35	4.128	1.947	1.736	1	1.38	0.85	3.22	4.1	0	401	212	36.6	7.26	4.47	0.54	1.05	1.6	3.5	11.5
TiP2O7	-14	0.1	0.2	0.7	4	6	2	4	5	-2	0.42	0.38	1.35	1.764	1.899	1.736	0.91	1.09	0.85	3.8	5.55	0	571	229	36.6	4.49	1.34	0.54	1.5	2.1	3.5	11
Mg5Ta4O15	-15	0.21	0.17	0.62	6	6	2	2	5	-2	0.72	0.64	1.35	2.324	1.801	1.736	1.09	0.95	0.85	3.45	4.05	0	121	444	36.6	3.18	2.47	0.54	1.2	1.5	3.5	17
Bi8TiO14	-16	0.35	0.04	0.61	8	8	2	3	4	-2	1.17	0.74	1.35	3.538	1.764	1.736	1.38	0.91	0.85	4.15	3.8	0	596	571	36.6	4.04	4.49	0.54	1.9	1.5	3.5	47.4
Ba2SiO4	-17	0.29	0.14	0.57	9	4	2	2	4	-2	1.47	0.26	1.35	6.299	2.002	1.736	1.44	1.18	0.85	2.32	4.7	0	461	189	36.6	11.07	2.19	0.54	0.9	1.8	3.5	13.1
Eu3Ga5O12	-17	0.15	0.25	0.6	8	5	2	3	3	-2	1.066	0.55	1.35	4.813	1.947	1.736	1.1	1.38	0.85	3.2	4.1	0	299	212	36.6	8.38	4.47	0.54	1	1.6	3.5	12.5
DyPO4	-17	0.17	0.17	0.67	8	4	2	3	5	-2	1.027	0.17	1.35	3.152	1.899	1.736	1.07	1.09	0.85	3.21	5.55	0	344	229	36.6	7.74	1.34	0.54	1.1	2.1	3.5	7.8
MgSiO3	-17	0.2	0.2	0.6	4	4	2	2	4	-2	0.57	0.26	1.35	2.324	2.002	1.736	1.09	1.18	0.85	3.45	4.7	0	121	189	36.6	3.18	2.19	0.54	1.2	1.8	3.5	6.7
Al2SiO5	-17	0.25	0.12	0.62	6	4	2	3	4	-2	0.535	0.26	1.35	1.66	2.002	1.736	1.25	1.18	0.85	4.2	4.7	0	152	189	36.6	5.23	2.19	0.54	1.5	1.8	3.5	5.3
TbPO4	-18	0.17	0.17	0.67	8	4	2	3	5	-2	1.04	0.17	1.35	3.213	1.899	1.736	1.08	1.09	0.85	3.21	5.55	0	329	229	36.6	7.91	1.34	0.54	1.1	2.1	3.5	7.8
Sm3Ga5O12	-19	0.15	0.25	0.6	8	5	2	3	3	-2	1.079	0.55	1.35	3.318	1.947	1.736	1.11	1.38	0.85	3.2	4.1	0	284	212	36.6	8.62	4.47	0.54	1.05	1.6	3.5	12.3
Bi12SiO20	-20	0.36	0.03	0.61	8	6	2	3	4	-2	1.17	0.4	1.35	3.538	2.002	1.736	1.38	1.18	0.85	4.15	4.7	0	596	189	36.6	4.04	2.19	0.54	1.9	1.8	3.5	37.6
PbMoO4	-21	0.17	0.17	0.67	8	8	2	2	6	-2	1.29	0.73	1.35	3.034	1.558	1.736	1.43	0.9	0.85	4.1	4.65	0	579	163	36.6	4.16	4.08	0.54	1.9	1.8	3.5	25.4
LaYbO3	-22	0.2	0.2	0.6	8	6	2	3	3	-2	1.16	0.868	1.35	3.741	4.128	1.736	1.34	1	0.85	3.17	3.22	0	202	401	36.6	8.68	7.26	0.54	1	1.05	3.5	26
Dy3Ga5O12	-22	0.15	0.25	0.6	8	5	2	3	3	-2	1.027	0.55	1.35	3.152	1.947	1.736	1.07	1.38	0.85	3.21	4.1	0	344	212	36.6	7.74	4.47	0.54	1.1	1.6	3.5	12.2
NdNbO4	-24	0.17	0.17	0.67	8	8	2	3	5	-2	1.109	0.74	1.35	3.418	1.807	1.736	1.17	0.95	0.85	3.19	4.05	0	252	441	36.6	9.38	4.45	0.54	1.05	1.6	3.5	19.6
PrAlO3	-25	0.2	0.2	0.6	9	6	2	3	3	-2	1.179	0.535	1.35	3.456	1.66	1.736	1.2	1.25	0.85	3.19	4.2	0	236	152	36.6	9.92	5.23	0.54	1.05	1.5	3.5	23.2
Mg2V2O7	-27	0.18	0.18	0.64	6	6	2	2	5	-2	0.72	0.54	1.35	2.324	1.392	1.736	1.09	0.86	0.85	3.45	4.25	0	121	68.4	36.6	3.18	4.48	0.54	1.2	1.6	3.5	10.5
ZnGa2O4	-27	0.14	0.29	0.57	4	6	2	2	3	-2	0.6	0.62	1.35	1.521	1.947	1.736	1.25	1.38	0.85	4.1	4.1	0	189	212	36.6	2.24	4.47	0.54	1.6	1.6	3.5	10.4
YbPO4	-28	0.17	0.17	0.67	8	4	2	3	5	-2	0.985	0.17	1.35	4.128	1.899	1.736	1	1.09	0.85	3.22	5.55	0	401	229	36.6	7.26	1.34	0.54	1.05	2.1	3.5	8.2
Ca3WO6	-30	0.3	0.1	0.6	7	6	2	2	6	-2	1.06	0.6	1.35	4.633	1.586	1.736	1.25	0.92	0.85	2.55	4.8	0	468	458	36.6	6.22	2.4	0.54	1	1.7	3.5	15.3
Bi12GeO20	-31	0.36	0.03	0.61	8	6	2	3	4	-2	1.17	0.53	1.35	3.538	2.264	1.736	1.38	1.22	0.85	4.15	4.55	0	596	235	36.6	4.04	2.55	0.54	1.9	1.8	3.5	38
Ca2V2O7	-32	0.18	0.18	0.64	8	4	2	2	5	-2	1.12	0.355	1.35	4.633	1.392	1.736	1.25	0.86	0.85	2.55	4.25	0	468	68.4	36.6	6.22	4.48	0.54	1	1.6	3.5	12.1
Zn2GeO4	-32	0.29	0.14	0.57	4	4	2	2	4	-2	0.6	0.39	1.35	1.521	2.264	1.736	1.25	1.22	0.85	4.1	4.55	0	189	235	36.6	2.24	2.55	0.54	1.6	1.8	3.5	6.9
CaHfO3	-33	0.2	0.2	0.6	8	6	2	2	4	-2	1.12	0.71	1.35	4.633	2.241	1.736	1.25	0.97	0.85	2.55	3.6	0	468	430	36.6	6.22	3.19	0.54	1	1.3	3.5	21.4
Nd3Ga5O12	-33	0.15	0.25	0.6	8	5	2	3	3	-2	1.109	0.55	1.35	3.418	1.947	1.736	1.17	1.38	0.85	3.19	4.1	0	252	212	36.6	9.38	4.47	0.54	1.05	1.6	3.5	12.4
DyAlO3	-34	0.2	0.2	0.6	9	6	2	3	3	-2	1.083	0.535	1.35	3.152	1.66	1.736	1.07	1.25	0.85	3.21	4.2	0	344	152	36.6	7.74	5.23	0.54	1.1	1.5	3.5	17.6
NdAlO3	-35	0.2	0.2	0.6	12	6	2	3	3	-2	1.27	0.535	1.35	3.418	1.66	1.736	1.17	1.25	0.85	3.19	4.2	0	252	152	36.6	9.38	5.23	0.54	1.05	1.5	3.5	22
Sr2V2O7	-35	0.18	0.18	0.64	8	4	2	2	5	-2	1.26	0.355	1.35	5.632	1.392	1.736	1.39	0.86	0.85	2.4	4.25	0	373	68.4	36.6	7.6	4.48	0.54	1	1.6	3.5	10.4
YPO4	-35	0.17	0.17	0.67	8	4	2	3	5	-2	1.019	0.17	1.35	3.318	1.899	1.736	1.22	1.09	0.85	3.2	5.55	0	396	229	36.6	5.57	1.34	0.54	1.2	2.1	3.5	8
Te2MoO7	-36	0.2	0.1	0.7	6	6	2	4	6	-2	0.97	0.59	1.35	3.394	1.558	1.736	1.24	0.9	0.85	0	4.65	0	707	163	36.6	2.22	4.08	0.54	2.1	1.8	3.5	13.6
Sm2SiO5	-37	0.25	0.12	0.62	8	4	2	3	4	-2	1.079	0.26	1.35	3.318	2.002	1.736	1.11	1.18	0.85	3.2	4.7	0	284	189	36.6	8.62	2.19	0.54	1.05	1.8	3.5	8.4
BiTaO4	-40	0.17	0.17	0.67	8	6	2	3	5	-2	1.17	0.64	1.35	3.538	1.801	1.736	1.38	0.95	0.85	4.15	4.05	0	596	444	36.6	4.04	2.47	0.54	1.9	1.5	3.5	43.5
SmNbO4	-40	0.17	0.17	0.67	8	8	2	3	5	-2	1.079	0.74	1.35	3.318	1.807	1.736	1.11	0.95	0.85	3.2	4.05	0	284	441	36.6	8.62	4.45	0.54	1.05	1.6	3.5	18.8
ErAlO3	-40	0.2	0.2	0.6	8	6	2	3	3	-2	1.004	0.535	1.35	3.064	1.66	1.736	1.02	1.25	0.85	3.22	4.2	0	373	152	36.6	7.46	5.23	0.54	1.1	1.5	3.5	16.3
Bi6B10O24	-41	0.15	0.25	0.6	8	4	2	3	3	-2	1.17	0.11	1.35	3.538	0.789	1.736	1.38	1.16	0.85	4.15	5.3	0	596	7.38	36.6	4.04	1.51	0.54	1.9	2	3.5	10.2
Ba3V4O13	-42	0.15	0.2	0.65	10	4	2	2	5	-2	1.52	0.355	1.35	6.299	1.392	1.736	1.44	0.86	0.85	2.32	4.25	0	461	68.4	36.6	11.07	4.48	0.54	0.9	1.6	3.5	9.6
Bi2Te2O8	-43	0.17	0.17	0.67	6	8	2	3	5	-2	1.03	0.97	1.35	3.538	3.394	1.736	1.38	1.24	0.85	4.15	0	0	596	707	36.6	4.04	2.22	0.54	1.9	2.1	3.5	39
LaAlO3	-44	0.2	0.2	0.6	12	6	2	2	3	-2	1.36	0.535	1.35	3.741	1.66	1.736	1.34	1.25	0.85	3.17	4.2	0	202	152	36.6	8.68	5.23	0.54	1	1.5	3.5	23.4
MnTa2O6	-44	0.11	0.22	0.67	6	6	2	2	5	-2	0.83	0.64	1.35	1.22	1.801	1.736	0.79	0.95	0.85	4.45	4.05	0	93	444	36.6	3.48	2.47	0.54	1.5	1.5	3.5	20.3
HfSiO4	-44	0.17	0.17	0.67	8	4	2	4	4	-2	0.83	0.26	1.35	2.241	2.002	1.736	0.97	1.18	0.85	3.6	4.7	0	430	189	36.6	3.19	2.19	0.54	1.3	1.8	3.5	7
CuNb2O6	-45	0.11	0.22	0.67	6	6	2	2	5	-2	0.73	0.64	1.35	1.181	1.807	1.736	1.12	0.95	0.85	4.45	4.05	0	166	441	36.6	3.01	4.45	0.54	1.9	1.6	3.5	17.1
MgTe2O5	-45	0.12	0.25	0.62	6	6	2	2	4	-2	0.72	0.97	1.35	2.324	3.394	1.736	1.09	1.24	0.85	3.45	0	0	121	707	36.6	3.18	2.22	0.54	1.2	2.1	3.5	10.5
Mg2B2O5	-45	0.22	0.22	0.56	6	3	2	2	3	-2	0.72	0.01	1.35	2.324	0.789	1.736	1.09	1.16	0.85	3.45	5.3	0	121	7.38	36.6	3.18	1.51	0.54	1.2	2	3.5	6.2
CePO4	-46	0.17	0.17	0.67	8	4	2	3	5	-2	1.143	0.17	1.35	3.478	1.899	1.736	1.23	1.09	0.85	3.18	5.55	0	219	229	36.6	10.35	1.34	0.54	1.05	2.1	3.5	11.1
MgMoO4	-46	0.17	0.17	0.67	6	6	2	2	6	-2	0.72	0.59	1.35	2.324	1.558	1.736	1.09	0.9	0.85	3.45	4.65	0	121	163	36.6	3.18	4.08	0.54	1.2	1.8	3.5	7.1
NdPO4	-47	0.17	0.17	0.67	9	5	2	3	5	-2	1.163	0.29	1.35	3.418	1.899	1.736	1.17	1.09	0.85	3.19	5.55	0	252	229	36.6	9.38	1.34	0.54	1.05	2.1	3.5	8.7
CoTiO3	-49	0.2	0.2	0.6	6	6	2	2	4	-2	0.7	0.605	1.35	1.108	1.764	1.736	0.71	0.91	0.85	5.1	3.8	0	125	571	36.6	3.01	4.49	0.54	1.9	1.5	3.5	19.5
Li3NbO4	-49	0.38	0.12	0.5	6	6	2	1	5	-2	0.76	0.64	1.35	2.162	1.807	1.736	1.75	0.95	0.85	2.85	4.05	0	1.96	441	36.6	9.1	4.45	0.54	1	1.6	3.5	15.8
Mg2TiO4	-50	0.29	0.14	0.57	6	6	2	2	4	-2	0.72	0.605	1.35	2.324	1.764	1.736	1.09	0.91	0.85	3.45	3.8	0	121	571	36.6	3.18	4.49	0.54	1.2	1.5	3.5	14.2
Sm2Mo4O15	-50	0.1	0.19	0.71	8	7	2	3	6	-2	1.079	0.73	1.35	3.318	1.558	1.736	1.11	0.9	0.85	3.2	4.65	0	284	163	36.6	8.62	4.08	0.54	1.05	1.8	3.5	10.7
Y3Al5O12	-50	0.15	0.25	0.6	8	5	2	3	3	-2	1.019	0.48	1.35	3.318	1.66	1.736	1.22	1.25	0.85	3.2	4.2	0	396	152	36.6	5.57	5.23	0.54	1.2	1.5	3.5	10.4
BaTe2O6	-51	0.11	0.22	0.67	12	6	2	4	4	-2	1.61	0.97	1.35	6.299	3.394	1.736	1.44	1.24	0.85	2.32	0	0	461	707	36.6	11.07	2.22	0.54	0.9	2.1	3.5	21
NiTiO3	-51	0.2	0.2	0.6	6	6	2	2	4	-2	0.69	0.605	1.35	1.093	1.764	1.736	1.13	0.91	0.85	5.2	3.8	0	144	571	36.6	3.12	4.49	0.54	1.9	1.5	3.5	17.8
LaBO3	-52	0.2	0.2	0.6	9	3	2	3	3	-2	1.216	0.01	1.35	3.741	0.789	1.736	1.34	1.16	0.85	3.17	5.3	0	202	7.38	36.6	8.68	1.51	0.54	1	2	3.5	11.8
CaNb2O6	-53	0.11	0.22	0.67	8	6	2	2	5	-2	1.12	0.64	1.35	4.633	1.807	1.736	1.25	0.95	0.85	2.55	4.05	0	468	441	36.6	6.22	4.45	0.54	1	1.6	3.5	17.3
Nd2SiO5	-53	0.25	0.12	0.62	8	4	2	3	4	-2	1.109	0.26	1.35	3.418	2.002	1.736	1.17	1.18	0.85	3.19	4.7	0	252	189	36.6	9.38	2.19	0.54	1.05	1.8	3.5	7.9
Mg5Nb4O15	-53	0.21	0.17	0.62	6	6	2	2	5	-2	0.72	0.64	1.35	2.324	1.807	1.736	1.09	0.95	0.85	3.45	4.05	0	121	441	36.6	3.18	4.45	0.54	1.2	1.6	3.5	11
GdAlO3	-54	0.2	0.2	0.6	9	6	2	3	3	-2	1.107	0.535	1.35	3.31	1.66	1.736	1.09	1.25	0.85	3.2	4.2	0	314	152	36.6	7.78	5.23	0.54	1.1	1.5	3.5	18.4
La2Sn2O7	-54	0.18	0.18	0.64	8	6	2	3	4	-2	1.16	0.69	1.35	3.741	2.705	1.736	1.34	1.41	0.85	3.17	4.15	0	202	662	36.6	8.68	3.02	0.54	1	1.8	3.5	14.4
SmPO4	-54	0.17	0.17	0.67	9	5	2	3	5	-2	1.132	0.29	1.35	3.318	1.899	1.736	1.11	1.09	0.85	3.2	5.55	0	284	229	36.6	8.62	1.34	0.54	1.05	2.1	3.5	10.3
BaTeO3	-54	0.2	0.2	0.6	9	6	2	2	4	-2	1.47	0.97	1.35	6.299	3.394	1.736	1.44	1.24	0.85	2.32	0	0	461	707	36.6	11.07	2.22	0.54	0.9	2.1	3.5	10
CaWO4	-54	0.17	0.17	0.67	8	6	2	2	6	-2	1.12	0.6	1.35	4.633	1.586	1.736	1.25	0.92	0.85	2.55	4.8	0	468	458	36.6	6.22	2.4	0.54	1	1.7	3.5	8.7
Zn2TiO4	-55	0.29	0.14	0.57	8	6	2	2	4	-2	0.9	0.605	1.35	1.521	1.764	1.736	1.25	0.91	0.85	4.1	3.8	0	189	571	36.6	2.24	4.49	0.54	1.6	1.5	3.5	20.2
ZnTiO3	-55	0.2	0.2	0.6	6	6	2	2	4	-2	0.74	0.605	1.35	1.521	1.764	1.736	1.25	0.91	0.85	4.1	3.8	0	189	571	36.6	2.24	4.49	0.54	1.6	1.5	3.5	19
Nd2Sn2O7	-55	0.18	0.18	0.64	8	6	2	3	4	-2	1.109	0.69	1.35	3.418	2.705	1.736	1.17	1.41	0.85	3.19	4.15	0	252	662	36.6	9.38	3.02	0.54	1.05	1.8	3.5	17
SrWO4	-55	0.17	0.17	0.67	8	6	2	2	6	-2	1.26	0.6	1.35	5.632	1.586	1.736	1.39	0.92	0.85	2.4	4.8	0	373	458	36.6	7.6	2.4	0.54	1	1.7	3.5	8.1
BaWO4	-55	0.17	0.17	0.67	12	6	2	2	6	-2	1.61	0.6	1.35	6.299	1.586	1.736	1.44	0.92	0.85	2.32	4.8	0	461	458	36.6	11.07	2.4	0.54	0.9	1.7	3.5	8.1
(Al0.5Ta0.5)O2	-55	0.17	0.17	0.67	6	6	2	3	5	-2	0.535	0.64	1.35	1.66	1.801	1.736	1.25	0.95	0.85	4.2	4.05	0	152	444	36.6	5.23	2.47	0.54	1.5	1.5	3.5	8.7
MnTiO3	-56	0.2	0.2	0.6	6	6	2	2	4	-2	0.83	0.605	1.35	1.22	1.764	1.736	0.79	0.91	0.85	4.45	3.8	0	93	571	36.6	3.48	4.49	0.54	1.5	1.5	3.5	20.4
AlNbO4	-56	0.17	0.17	0.67	6	6	2	3	5	-2	0.535	0.64	1.35	1.66	1.807	1.736	1.25	0.95	0.85	4.2	4.05	0	152	441	36.6	5.23	4.45	0.54	1.5	1.6	3.5	12
LaPO4	-56	0.17	0.17	0.67	8	4	2	3	5	-2	1.16	0.17	1.35	3.741	1.899	1.736	1.34	1.09	0.85	3.17	5.55	0	202	229	36.6	8.68	1.34	0.54	1	2.1	3.5	10.4
CeAlO3	-57	0.2	0.2	0.6	12	6	2	3	3	-2	1.34	0.535	1.35	3.478	1.66	1.736	1.23	1.25	0.85	3.18	4.2	0	219	152	36.6	10.35	5.23	0.54	1.05	1.5	3.5	20.7
Zn3B2O6	-58	0.27	0.18	0.55	4	3	2	2	3	-2	0.6	0.01	1.35	1.521	0.789	1.736	1.25	1.16	0.85	4.1	5.3	0	189	7.38	36.6	2.24	1.51	0.54	1.6	2	3.5	6.7
YAlO3	-59	0.2	0.2	0.6	9	6	2	3	3	-2	1.075	0.535	1.35	3.318	1.66	1.736	1.22	1.25	0.85	3.2	4.2	0	396	152	36.6	5.57	5.23	0.54	1.2	1.5	3.5	15.7
Pb2MoO5	-60	0.25	0.12	0.62	8	4	2	2	6	-2	1.29	0.41	1.35	3.034	1.558	1.736	1.43	0.9	0.85	4.1	4.65	0	579	163	36.6	4.16	4.08	0.54	1.9	1.8	3.5	19.1
Zn2Te3O8	-60	0.15	0.23	0.62	6	4	2	2	4	-2	0.74	0.66	1.35	1.521	3.394	1.736	1.25	1.24	0.85	4.1	0	0	189	707	36.6	2.24	2.22	0.54	1.6	2.1	3.5	16.2
Nd2Mo3O12	-60	0.12	0.18	0.71	8	8	2	3	6	-2	1.109	0.73	1.35	3.418	1.558	1.736	1.17	0.9	0.85	3.19	4.65	0	252	163	36.6	9.38	4.08	0.54	1.05	1.8	3.5	8.2
CaMoO4	-60	0.17	0.17	0.67	8	8	2	2	6	-2	1.12	0.73	1.35	4.633	1.558	1.736	1.25	0.9	0.85	2.55	4.65	0	468	163	36.6	6.22	4.08	0.54	1	1.8	3.5	11.7
Zn2SiO4	-61	0.29	0.14	0.57	4	4	2	2	4	-2	0.6	0.26	1.35	1.521	2.002	1.736	1.25	1.18	0.85	4.1	4.7	0	189	189	36.6	2.24	2.19	0.54	1.6	1.8	3.5	6.58
BiSbO4	-62	0.17	0.17	0.67	8	6	2	3	5	-2	1.17	0.6	1.35	3.538	2.997	1.736	1.38	1.32	0.85	4.15	4.4	0	596	288	36.6	4.04	2.37	0.54	1.9	1.9	3.5	19.3
Mg2SnO4	-62	0.29	0.14	0.57	6	6	2	2	4	-2	0.72	0.69	1.35	2.324	2.705	1.736	1.09	1.41	0.85	3.45	4.15	0	121	662	36.6	3.18	3.02	0.54	1.2	1.8	3.5	8.4
Bi2W2O9	-63	0.15	0.15	0.69	8	6	2	3	6	-2	1.17	0.6	1.35	3.538	1.586	1.736	1.38	0.92	0.85	4.15	4.8	0	596	458	36.6	4.04	2.4	0.54	1.9	1.7	3.5	32.5
SrHfO3	-63	0.2	0.2	0.6	12	6	2	2	4	-2	1.44	0.71	1.35	5.632	2.241	1.736	1.39	0.97	0.85	2.4	3.6	0	373	430	36.6	7.6	3.19	0.54	1	1.3	3.5	23.5
MgAl2O4	-63	0.14	0.29	0.57	4	6	2	2	3	-2	0.57	0.535	1.35	2.324	1.66	1.736	1.09	1.25	0.85	3.45	4.2	0	121	152	36.6	3.18	5.23	0.54	1.2	1.5	3.5	8.5
