formula	Qf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Aap	Bap	Cap	Dap	Aen	Ben	Cen	Den	Amac	Bmac	Cmac	Dmac	Aaw	Baw	Caw	Daw	Aym	Bym	Cym	Dym	Ame	Bme	Cme	Dme	eps
BaCu(B2O5)	50000	0.11	0.11	0.22	0.56	11	6	3	2	1.57	0.73	0.01	1.35	11.07	3.01	1.51	0.54	2.4	4.48	4.29	7.54	461	166	7.38	36.6	137.327	63.546	10.811	15.999	12.8	129.8	0	0	7.8	13	23.6	0.444	7.3
(Ti0.8Sn0.2)Te3O8	22000	0.07	0.02	0.25	0.67	6	6	12	2	0.86	0.83	1.11	1.35	4.49	3.02	2.22	0.54	3.45	4.3	5.49	7.54	571	662	707	36.6	47.88	118.71	127.6	15.999	120.2	49.9	47.1	0	18.8	7.07	34.98	0.444	41
Bi2(Zn0.33Ta0.67)2O7	2600	0.18	0.06	0.12	0.64	6	4	4	2	1.06	0.6	0.64	1.35	4.04	2.24	2.47	0.54	4.69	4.45	4.11	7.54	596	189	444	36.6	208.98	65.39	180.948	15.999	34	104.5	185.7	0	10.9	7.28	24.7	0.444	51.8
Ba6Ta4TiO18	27500	0.21	0.14	0.03	0.62	12	6	6	2	1.61	0.923	0.605	1.35	11.07	2.47	4.49	0.54	2.4	4.11	3.45	7.54	461	444	571	36.6	137.327	180.948	47.88	15.999	12.8	185.7	120.2	0	7.8	24.7	18.8	0.444	27
Zn0.5Mg0.5Nb2O6	33100	0.06	0.06	0.22	0.67	12	6	6	2	0.9	0.86	10.42	1.35	2.24	3.18	4.45	0.54	4.45	8.3	4	7.54	189	121	441	36.6	65.39	24.305	92.906	15.999	104.5	44.7	104.9	0	7.28	8.9	26.8	0.444	22
Li2ZnTi3O8	72000	0.14	0.07	0.21	0.57	6.5	6	7	2	0.76	0.74	0.605	1.35	9.1	2.24	4.49	0.54	3.01	4.45	3.45	7.54	1.96	189	571	36.6	6.941	65.39	47.88	15.999	4.9	104.5	120.2	0	2.93	7.28	18.8	0.444	25.6
Li3AlB2O6	12460	0.25	0.08	0.17	0.5	4	4	3	2	0.59	0.39	0.27	1.35	9.1	5.23	1.51	0.54	3.01	3.23	4.29	7.54	1.96	152	7.38	36.6	6.941	26.982	10.811	15.999	4.9	70.6	0	0	2.93	10.5	23.6	0.444	4.2
Nd(Mg0.5Sn0.5)O3	43300	0.2	0.1	0.1	0.6	12	6	6	2	1.29	0.86	5.8	1.35	9.38	3.18	3.02	0.54	3	8.3	4.3	7.54	252	121	662	36.6	144.24	24.305	118.71	15.999	41.4	44.7	49.9	0	7.1	8.9	7.07	0.444	19.3
Nd2BaZnO5	12451	0.22	0.11	0.11	0.56	12	6	6	2	1.29	1.48	2.7	1.35	9.38	11.07	2.24	0.54	3	2.4	4.45	7.54	252	461	189	36.6	144.24	137.327	65.39	15.999	41.4	12.8	104.5	0	7.1	7.8	7.28	0.444	22.6
Ca0.8Sr0.2SnO3	6700	0.16	0.04	0.2	0.6	12	12	6	2	1.34	1.18	0.69	1.35	6.22	7.6	3.02	0.54	2.2	2	4.3	7.54	468	373	662	36.6	40.078	87.62	118.71	15.999	19.6	15.7	49.9	0	8.6	8.2	7.07	0.444	8.5
Ca(In0.5Ta0.5)O3	16700	0.2	0.1	0.1	0.6	12	6	6	2	1.4	3.75	7.81	1.35	6.22	5.01	2.47	0.54	2.2	3.1	4.11	7.54	468	638	444	36.6	40.078	114.82	180.948	15.999	19.6	10.6	185.7	0	8.6	3.26	24.7	0.444	24
Mg0.93Ca0.07TiO3	68550	0.19	0.01	0.2	0.6	12	6	6	2	1.1	2	6.61	1.35	3.18	6.22	4.49	0.54	8.3	2.2	3.45	7.54	121	468	571	36.6	24.305	40.078	47.88	15.999	44.7	19.6	120.2	0	8.9	8.6	18.8	0.444	22.2
YTiNbO6	8820	0.11	0.11	0.11	0.67	12	6	6	2	1.075	0.745	10.42	1.35	5.57	4.49	4.45	0.54	3.19	3.45	4	7.54	396	571	441	36.6	88.906	47.88	92.906	15.999	66.3	120.2	104.9	0	11.5	18.8	26.8	0.444	19
Yb2BaNiO5	44600	0.22	0.11	0.11	0.56	10	7	6	2	1.042	1.38	0.83	1.35	7.26	11.07	3.12	0.54	3.5	2.4	4.4	7.54	401	461	144	36.6	173.04	137.327	58.69	15.999	23.9	12.8	199.5	0	9.2	7.8	17.2	0.444	9.1
DyTiTaO6	40100	0.11	0.11	0.11	0.67	12	6	6	2	1.052	0.745	7.81	1.35	7.74	4.49	2.47	0.54	3.2	3.45	4.11	7.54	344	571	444	36.6	162.5	47.88	180.948	15.999	61.4	120.2	185.7	0	17.2	18.8	24.7	0.444	34.6
Ba(Pr0.5Ta0.5)O3	42800	0.2	0.1	0.1	0.6	12	6	6	2	1.24	1.13	7.81	1.35	11.07	9.92	2.47	0.54	2.4	3	4.11	7.54	461	236	444	36.6	137.327	140.908	180.948	15.999	12.8	37.3	185.7	0	7.8	11.3	24.7	0.444	38.5
(Nd0.99Mn0.015)1.02Nb0.988O4	38600	0.17	0	0.16	0.66	12	6	6	2	1.29	0.72	10.42	1.35	9.38	3.48	4.45	0.54	3	3.72	4	7.54	252	93	441	36.6	144.24	54.938	92.906	15.999	41.4	191	104.9	0	7.1	13.4	26.8	0.444	19.1
Sr4AlNbO8	3700	0.29	0.07	0.07	0.57	8	6	4	2	1.26	0.535	0.64	1.35	7.6	5.23	4.45	0.54	2	3.23	4	7.54	373	152	441	36.6	87.62	26.982	92.906	15.999	15.7	70.6	104.9	0	8.2	10.5	26.8	0.444	22
Sr(Pr0.5Ta0.5)O3	8400	0.2	0.1	0.1	0.6	12	6	6	2	1.44	1.13	7.81	1.35	7.6	9.92	2.47	0.54	2	3	4.11	7.54	373	236	444	36.6	87.62	140.908	180.948	15.999	15.7	37.3	185.7	0	8.2	11.3	24.7	0.444	32
LaMgAl11O19	28000	0.03	0.03	0.34	0.59	12	7	6	2	1.36	0.72	0.535	1.35	8.68	3.18	5.23	0.54	3.1	8.3	3.23	7.54	202	121	152	36.6	138.906	24.305	26.982	15.999	37.9	44.7	70.6	0	10	8.9	10.5	0.444	14
TiFeNbO6	2300	0.11	0.11	0.11	0.67	6	6	6	2	0.605	0.55	0.64	1.35	4.49	3.07	4.45	0.54	3.45	4.06	4	7.54	571	108	441	36.6	47.88	55.847	92.906	15.999	120.2	208	104.9	0	18.8	13.8	26.8	0.444	47.2
Sm2SrZnO5	19283	0.22	0.11	0.11	0.56	12	6	6	2	1.32	1.32	2.7	1.35	8.62	7.6	2.24	0.54	3.1	2	4.45	7.54	284	373	189	36.6	150.36	87.62	65.39	15.999	49.7	15.7	104.5	0	10.9	8.2	7.28	0.444	24.1
Ca(Yb0.5Nb0.5)O3	7200	0.2	0.1	0.1	0.6	12	6	6	2	1.4	1.008	10.42	1.35	6.22	7.26	4.45	0.54	2.2	3.5	4	7.54	468	401	441	36.6	40.078	173.04	92.906	15.999	19.6	23.9	104.9	0	8.6	9.2	26.8	0.444	27
Ba8Ta4Ti3O24	23050	0.21	0.1	0.08	0.62	12	6	6	2	1.24	0.78	6.61	1.35	11.07	2.47	4.49	0.54	2.4	4.11	3.45	7.54	461	444	571	36.6	137.327	180.948	47.88	15.999	12.8	185.7	120.2	0	7.8	24.7	18.8	0.444	34.2
Sr(Cr0.5Nb0.5)O3	6400	0.2	0.1	0.1	0.6	12	6	6	2	1.44	4.88	10.42	1.35	7.6	4.33	4.45	0.54	2	3.72	4	7.54	373	79.8	441	36.6	87.62	51.996	92.906	15.999	15.7	279	104.9	0	8.2	21	26.8	0.444	35
Sr6Nb4TiO18	6700	0.21	0.14	0.03	0.62	12	6	6	2	1.58	0.64	0.605	1.35	7.6	4.45	4.49	0.54	2	4	3.45	7.54	373	441	571	36.6	87.62	92.906	47.88	15.999	15.7	104.9	120.2	0	8.2	26.8	18.8	0.444	43
BaSr4Ta4O15	2800	0.04	0.17	0.17	0.62	12	6	6	2	1.24	1.32	7.81	1.35	11.07	7.6	2.47	0.54	2.4	2	4.11	7.54	461	373	444	36.6	137.327	87.62	180.948	15.999	12.8	15.7	185.7	0	7.8	8.2	24.7	0.444	31.7
Pb2Ta1.5Nb0.5O7	12800	0.18	0.14	0.05	0.64	6	6	6	2	1.19	0.68	0.64	1.35	4.16	2.47	4.45	0.54	3.9	4.11	4	7.54	579	444	441	36.6	207.2	180.948	92.906	15.999	16.1	185.7	104.9	0	4.81	24.7	26.8	0.444	64
Ba(Mg0.5W0.5)O3	57300	0.2	0.1	0.1	0.6	12	6	6	2	1.24	0.86	14.29	1.35	11.07	3.18	2.4	0.54	2.4	8.3	4.4	7.54	461	121	458	36.6	137.327	24.305	183.85	15.999	12.8	44.7	411	0	7.8	8.9	35	0.444	15
Li2CaSiO4	2500	0.25	0.12	0.12	0.5	4	8	4	2	0.59	1.12	0.4	1.35	9.1	6.22	2.19	0.54	3.01	2.2	4.77	7.54	1.96	468	189	36.6	6.941	40.078	28.086	15.999	4.9	19.6	113	0	2.93	8.6	50.6	0.444	4.4
(Zn0.95Co0.05)2TiO4	2100	0.27	0.01	0.14	0.57	12	6	6	2	0.9	2.99	6.61	1.35	2.24	3.01	4.49	0.54	4.45	4.3	3.45	7.54	189	125	571	36.6	65.39	58.933	47.88	15.999	104.5	211	120.2	0	7.28	16.3	18.8	0.444	19
Ba(Cd0.33Ta0.67)O3	50000	0.2	0.07	0.13	0.6	12	6	6	2	1.24	2.11	7.81	1.35	11.07	2.54	2.47	0.54	2.4	4.33	4.11	7.54	461	613	444	36.6	137.327	112.411	180.948	15.999	12.8	62.6	185.7	0	7.8	6.4	24.7	0.444	32
Sr(Sm0.5Nb0.5)O3	41000	0.2	0.1	0.1	0.6	12	6	6	2	1.44	1.098	10.42	1.35	7.6	8.62	4.45	0.54	2	3.1	4	7.54	373	284	441	36.6	87.62	150.36	92.906	15.999	15.7	49.7	104.9	0	8.2	10.9	26.8	0.444	31.8
Li3FeMo3O12	12000	0.16	0.05	0.16	0.63	6	6	6	2	0.76	0.55	0.59	1.35	9.1	3.07	4.08	0.54	3.01	4.06	3.9	7.54	1.96	108	163	36.6	6.941	55.847	95.94	15.999	4.9	208	324.8	0	2.93	13.8	28	0.444	11.5
GdTiNbO6	9050	0.11	0.11	0.11	0.67	12	6	6	2	1.25	0.745	10.42	1.35	7.78	4.49	4.45	0.54	3.3	3.45	4	7.54	314	571	441	36.6	157.25	47.88	92.906	15.999	54.8	120.2	104.9	0	15.5	18.8	26.8	0.444	20
Sr(Nd0.5Nb0.5)O3	2500	0.2	0.1	0.1	0.6	12	6	6	2	1.44	1.123	10.42	1.35	7.6	9.38	4.45	0.54	2	3	4	7.54	373	252	441	36.6	87.62	144.24	92.906	15.999	15.7	41.4	104.9	0	8.2	7.1	26.8	0.444	29.7
La2BaZnO5	17800	0.22	0.11	0.11	0.56	12	6	6	2	1.5	1.48	2.7	1.35	8.68	11.07	2.24	0.54	3.1	2.4	4.45	7.54	202	461	189	36.6	138.906	137.327	65.39	15.999	37.9	12.8	104.5	0	10	7.8	7.28	0.444	20.3
Y(Ti0.5W0.5)O4	6200	0.17	0.08	0.08	0.67	12	6	6	2	1.075	0.745	14.29	1.35	5.57	4.49	2.4	0.54	3.19	3.45	4.4	7.54	396	571	458	36.6	88.906	47.88	183.85	15.999	66.3	120.2	411	0	11.5	18.8	35	0.444	19.3
Mg2Si0.9Ti0.1O4	73760	0.29	0.13	0.01	0.57	6	6	6	2	0.72	0.4	0.605	1.35	3.18	2.19	4.49	0.54	8.3	4.77	3.45	7.54	121	189	571	36.6	24.305	28.086	47.88	15.999	44.7	113	120.2	0	8.9	50.6	18.8	0.444	7.4
SrLa4Ti5O15	45000	0.04	0.16	0.2	0.6	6	6	6	2	1.18	1.032	0.605	1.35	7.6	8.68	4.49	0.54	2	3.1	3.45	7.54	373	202	571	36.6	87.62	138.906	47.88	15.999	15.7	37.9	120.2	0	8.2	10	18.8	0.444	44
Ba(Eu0.5Nb0.5)O3	40200	0.2	0.1	0.1	0.6	12	6	6	2	1.24	3.17	10.42	1.35	11.07	8.38	4.45	0.54	2.4	3.1	4	7.54	461	299	441	36.6	137.327	151.965	92.906	15.999	12.8	18.2	104.9	0	7.8	10.5	26.8	0.444	40
Ba(La0.5Nb0.5)O3	8000	0.2	0.1	0.1	0.6	12	6	6	2	1.24	1.172	10.42	1.35	11.07	8.68	4.45	0.54	2.4	3.1	4	7.54	461	202	441	36.6	137.327	138.906	92.906	15.999	12.8	37.9	104.9	0	7.8	10	26.8	0.444	37.4
Gd2BaCuO5	3320	0.22	0.11	0.11	0.56	9	7	5	2	1.107	1.38	0.73	1.35	7.78	11.07	3.01	0.54	3.3	2.4	4.48	7.54	314	461	166	36.6	157.25	137.327	63.546	15.999	54.8	12.8	129.8	0	15.5	7.8	13	0.444	16
Ba5NbTa3O15	4700	0.21	0.04	0.12	0.62	12	6	6	2	1.61	0.64	0.64	1.35	11.07	4.45	2.47	0.54	2.4	4	4.11	7.54	461	441	444	36.6	137.327	92.906	180.948	15.999	12.8	104.9	185.7	0	7.8	26.8	24.7	0.444	32.2
Gd2BaZnO5	2580	0.22	0.11	0.11	0.56	9	7	5	2	1.107	1.38	0.68	1.35	7.78	11.07	2.24	0.54	3.3	2.4	4.45	7.54	314	461	189	36.6	157.25	137.327	65.39	15.999	54.8	12.8	104.5	0	15.5	7.8	7.28	0.444	17.2
BaSr4Nb4O15	23300	0.04	0.17	0.17	0.62	12	12	6	2	1.61	1.44	0.64	1.35	11.07	7.6	4.45	0.54	2.4	2	4	7.54	461	373	441	36.6	137.327	87.62	92.906	15.999	12.8	15.7	104.9	0	7.8	8.2	26.8	0.444	45
Ca(Zr0.6Ti0.4)O3	7840	0.2	0.12	0.08	0.6	12	6	6	2	1.4	0.86	6.61	1.35	6.22	4.63	4.49	0.54	2.2	3.64	3.45	7.54	468	419	571	36.6	40.078	91.224	47.88	15.999	19.6	98	120.2	0	8.6	19.2	18.8	0.444	78
Ba(Mn0.5Ti0.5)O3	11600	0.2	0.1	0.1	0.6	12	6	6	2	1.24	0.67	6.61	1.35	11.07	3.48	4.49	0.54	2.4	3.72	3.45	7.54	461	93	571	36.6	137.327	54.938	47.88	15.999	12.8	191	120.2	0	7.8	13.4	18.8	0.444	45
Tb(Ti0.5W0.5)O4	5900	0.17	0.08	0.08	0.67	12	6	6	2	1.1	0.745	14.29	1.35	7.91	4.49	2.4	0.54	3.2	3.45	4.4	7.54	329	571	458	36.6	158.925	47.88	183.85	15.999	55.7	120.2	411	0	16.3	18.8	35	0.444	19.1
Ba3Ti4Ta4O21	7000	0.09	0.12	0.12	0.66	13	6	6	2	1.61	0.745	0.64	1.35	11.07	4.49	2.47	0.54	2.4	3.45	4.11	7.54	461	571	444	36.6	137.327	47.88	180.948	15.999	12.8	120.2	185.7	0	7.8	18.8	24.7	0.444	48
Ba3Sr2Nb4O15	21200	0.12	0.08	0.17	0.62	12	12	6	2	1.61	1.44	0.64	1.35	11.07	7.6	4.45	0.54	2.4	2	4	7.54	461	373	441	36.6	137.327	87.62	92.906	15.999	12.8	15.7	104.9	0	7.8	8.2	26.8	0.444	51
Dy(Ti0.5W0.5)O4	6000	0.17	0.08	0.08	0.67	12	6	6	2	1.052	0.745	14.29	1.35	7.74	4.49	2.4	0.54	3.2	3.45	4.4	7.54	344	571	458	36.6	162.5	47.88	183.85	15.999	61.4	120.2	411	0	17.2	18.8	35	0.444	19.9
Bi0.95Sm0.05NbO4	5200	0.16	0.01	0.17	0.67	6	6	6	2	1.17	1.098	10.42	1.35	4.04	8.62	4.45	0.54	4.69	3.1	4	7.54	596	284	441	36.6	208.98	150.36	92.906	15.999	34	49.7	104.9	0	10.9	10.9	26.8	0.444	41
(Zn0.95Cu0.05)2TiO4	9700	0.27	0.01	0.14	0.57	6	6	6	2	0.74	0.73	0.605	1.35	2.24	3.01	4.49	0.54	4.45	4.48	3.45	7.54	189	166	571	36.6	65.39	63.546	47.88	15.999	104.5	129.8	120.2	0	7.28	13	18.8	0.444	18
Li2CoTi3O8	52600	0.14	0.07	0.21	0.57	8	6	6	2	1.06	2.99	6.61	1.35	9.1	3.01	4.49	0.54	3.01	4.3	3.45	7.54	1.96	125	571	36.6	6.941	58.933	47.88	15.999	4.9	211	120.2	0	2.93	16.3	18.8	0.444	28.9
Ba8Ta6MgO24	80900	0.21	0.15	0.03	0.62	12	6	6	2	1.24	0.78	2.78	1.35	11.07	2.47	3.18	0.54	2.4	4.11	8.3	7.54	461	444	121	36.6	137.327	180.948	24.305	15.999	12.8	185.7	44.7	0	7.8	24.7	8.9	0.444	26.6
Gd(Ti0.5W0.5)O4	5000	0.17	0.08	0.08	0.67	12	6	6	2	1.25	0.745	14.29	1.35	7.78	4.49	2.4	0.54	3.3	3.45	4.4	7.54	314	571	458	36.6	157.25	47.88	183.85	15.999	54.8	120.2	411	0	15.5	18.8	35	0.444	22.2
Ba(Mg0.33Nb0.67)O3	46000	0.2	0.07	0.13	0.6	12	6	6	2	1.24	0.86	10.42	1.35	11.07	3.18	4.45	0.54	2.4	8.3	4	7.54	461	121	441	36.6	137.327	24.305	92.906	15.999	12.8	44.7	104.9	0	7.8	8.9	26.8	0.444	31
Li0.774Zr0.057NbO3	3550	0.16	0.01	0.21	0.62	8	6	6	2	1.06	0.86	10.42	1.35	9.1	4.63	4.45	0.54	3.01	3.64	4	7.54	1.96	419	441	36.6	6.941	91.224	92.906	15.999	4.9	98	104.9	0	2.93	19.2	26.8	0.444	30.9
Ba(Co0.5W0.5)O3	21000	0.2	0.1	0.1	0.6	12	6	6	2	1.24	2.99	14.29	1.35	11.07	3.01	2.4	0.54	2.4	4.3	4.4	7.54	461	125	458	36.6	137.327	58.933	183.85	15.999	12.8	211	411	0	7.8	16.3	35	0.444	19.3
Ba3YNb3O12	39500	0.16	0.05	0.16	0.63	12	6	6	2	1.24	1.04	10.42	1.35	11.07	5.57	4.45	0.54	2.4	3.19	4	7.54	461	396	441	36.6	137.327	88.906	92.906	15.999	12.8	66.3	104.9	0	7.8	11.5	26.8	0.444	29.9
Ba4La4Ti7O24	500	0.1	0.1	0.18	0.62	12	12	6	2	1.35	1.032	0.605	1.35	11.07	8.68	4.49	0.54	2.4	3.1	3.45	7.54	461	202	571	36.6	137.327	138.906	47.88	15.999	12.8	37.9	120.2	0	7.8	10	18.8	0.444	82.2
Ba(Eu0.5Ta0.5)O3	41200	0.2	0.1	0.1	0.6	12	6	6	2	1.24	3.17	7.81	1.35	11.07	8.38	2.47	0.54	2.4	3.1	4.11	7.54	461	299	444	36.6	137.327	151.965	180.948	15.999	12.8	18.2	185.7	0	7.8	10.5	24.7	0.444	37
Mg3Yb4Al44O75	41000	0.02	0.03	0.35	0.6	6	6	6	2	0.72	1.02	0.535	1.35	3.18	7.26	5.23	0.54	8.3	3.5	3.23	7.54	121	401	152	36.6	24.305	173.04	26.982	15.999	44.7	23.9	70.6	0	8.9	9.2	10.5	0.444	10.3
Ba(Gd0.5Nb0.5)O3	5700	0.2	0.1	0.1	0.6	12	6	6	2	1.24	5.63	10.42	1.35	11.07	7.78	4.45	0.54	2.4	3.3	4	7.54	461	314	441	36.6	137.327	157.25	92.906	15.999	12.8	54.8	104.9	0	7.8	15.5	26.8	0.444	40
Ba2CeV3O11	10000	0.12	0.06	0.18	0.65	9	6	6	2	1.47	1.01	0.54	1.35	11.07	10.35	4.48	0.54	2.4	3	3.6	7.54	461	219	68.4	36.6	137.327	140.115	50.942	15.999	12.8	33.5	127.6	0	7.8	8.9	17.5	0.444	13.8
YbTiNbO6	11000	0.11	0.11	0.11	0.67	6	6	6	2	0.868	0.605	0.64	1.35	7.26	4.49	4.45	0.54	3.5	3.45	4	7.54	401	571	441	36.6	173.04	47.88	92.906	15.999	23.9	120.2	104.9	0	9.2	18.8	26.8	0.444	22
Li2MgTi3O8	54050	0.14	0.07	0.21	0.57	8	6	6	2	1.06	0.86	6.61	1.35	9.1	3.18	4.49	0.54	3.01	8.3	3.45	7.54	1.96	121	571	36.6	6.941	24.305	47.88	15.999	4.9	44.7	120.2	0	2.93	8.9	18.8	0.444	23
LiMgPO4	79100	0.14	0.14	0.14	0.57	6	6	4	2	0.76	0.72	0.38	1.35	9.1	3.18	1.34	0.54	3.01	8.3	5.62	7.54	1.96	121	229	36.6	6.941	24.305	30.974	15.999	4.9	44.7	0	0	2.93	8.9	2.51	0.444	6.6
Ba(Mn0.33Nb0.67)O3	9300	0.2	0.07	0.13	0.6	12	6	6	2	1.24	0.81	10.42	1.35	11.07	3.48	4.45	0.54	2.4	3.72	4	7.54	461	93	441	36.6	137.327	54.938	92.906	15.999	12.8	191	104.9	0	7.8	13.4	26.8	0.444	39
NdTiNbO6	4480	0.11	0.11	0.11	0.67	6	6	6	2	0.983	0.605	0.64	1.35	9.38	4.49	4.45	0.54	3	3.45	4	7.54	252	571	441	36.6	144.24	47.88	92.906	15.999	41.4	120.2	104.9	0	7.1	18.8	26.8	0.444	52
Ba2La4Ti5O18	31850	0.07	0.14	0.17	0.62	12	12	6	2	1.61	1.36	0.605	1.35	11.07	8.68	4.49	0.54	2.4	3.1	3.45	7.54	461	202	571	36.6	137.327	138.906	47.88	15.999	12.8	37.9	120.2	0	7.8	10	18.8	0.444	46
Mg0.95Co0.05Ti2O5	68000	0.12	0.01	0.25	0.62	12	6	6	2	1.1	2.99	6.61	1.35	3.18	3.01	4.49	0.54	8.3	4.3	3.45	7.54	121	125	571	36.6	24.305	58.933	47.88	15.999	44.7	211	120.2	0	8.9	16.3	18.8	0.444	18.6
Ba10Ta7.04Ti1.2O30	30000	0.21	0.15	0.02	0.62	12	6	6	2	1.24	0.78	6.61	1.35	11.07	2.47	4.49	0.54	2.4	4.11	3.45	7.54	461	444	571	36.6	137.327	180.948	47.88	15.999	12.8	185.7	120.2	0	7.8	24.7	18.8	0.444	36
CaSnSiO5	61000	0.12	0.12	0.12	0.62	7	4	6	2	1.06	0.55	0.4	1.35	6.22	3.02	2.19	0.54	2.2	4.3	4.77	7.54	468	662	189	36.6	40.078	118.71	28.086	15.999	19.6	49.9	113	0	8.6	7.07	50.6	0.444	9.1
Ba(Ni0.33Nb0.67)O3	48000	0.2	0.07	0.13	0.6	12	6	6	2	1.24	0.83	10.42	1.35	11.07	3.12	4.45	0.54	2.4	4.4	4	7.54	461	144	441	36.6	137.327	58.69	92.906	15.999	12.8	199.5	104.9	0	7.8	17.2	26.8	0.444	31
Sr2MgSi2O7	55000	0.17	0.08	0.17	0.58	8	4	4	2	1.26	0.57	0.4	1.35	7.6	3.18	2.19	0.54	2	8.3	4.77	7.54	373	121	189	36.6	87.62	24.305	28.086	15.999	15.7	44.7	113	0	8.2	8.9	50.6	0.444	8.3
CeTiTaO6	33300	0.11	0.11	0.11	0.67	9	6	6	2	1.196	0.745	0.64	1.35	10.35	4.49	2.47	0.54	3	3.45	4.11	7.54	219	571	444	36.6	140.115	47.88	180.948	15.999	33.5	120.2	185.7	0	8.9	18.8	24.7	0.444	46
Mg0.95Zn0.05Ti2O5	45000	0.12	0.01	0.25	0.62	12	6	6	2	1.1	0.88	6.61	1.35	3.18	2.24	4.49	0.54	8.3	4.45	3.45	7.54	121	189	571	36.6	24.305	65.39	47.88	15.999	44.7	104.5	120.2	0	8.9	7.28	18.8	0.444	18.5
Sr(Tb0.5Nb0.5)O3	36300	0.2	0.1	0.1	0.6	12	6	6	2	1.44	1.063	10.42	1.35	7.6	7.91	4.45	0.54	2	3.2	4	7.54	373	329	441	36.6	87.62	158.925	92.906	15.999	15.7	55.7	104.9	0	8.2	16.3	26.8	0.444	34
Ca(Zn0.33Nb0.67)O3	16000	0.2	0.07	0.13	0.6	12	6	6	2	1.4	0.88	10.42	1.35	6.22	2.24	4.45	0.54	2.2	4.45	4	7.54	468	189	441	36.6	40.078	65.39	92.906	15.999	19.6	104.5	104.9	0	8.6	7.28	26.8	0.444	35
Ba6Nb4TiO18	9500	0.21	0.14	0.03	0.62	12	6	6	2	1.61	0.64	0.605	1.35	11.07	4.45	4.49	0.54	2.4	4	3.45	7.54	461	441	571	36.6	137.327	92.906	47.88	15.999	12.8	104.9	120.2	0	7.8	26.8	18.8	0.444	43
Ag(Nb0.75Ta0.25)O3	200	0.2	0.15	0.05	0.6	12	6	6	2	0.78	10.42	7.81	1.35	3.29	4.45	2.47	0.54	4.44	4	4.11	7.54	586	441	444	36.6	107.868	92.906	180.948	15.999	82.7	104.9	185.7	0	11.1	26.8	24.7	0.444	487
Dy2BaCuO5	31610	0.22	0.11	0.11	0.56	11	7	5	2	1.083	1.38	0.73	1.35	7.74	11.07	3.01	0.54	3.2	2.4	4.48	7.54	344	461	166	36.6	162.5	137.327	63.546	15.999	61.4	12.8	129.8	0	17.2	7.8	13	0.444	14.9
(Ag0.5Bi0.5)MoO4	13000	0.08	0.08	0.17	0.67	12	6	6	2	0.78	2.91	10.17	1.35	3.29	4.04	4.08	0.54	4.44	4.69	3.9	7.54	586	596	163	36.6	107.868	208.98	95.94	15.999	82.7	34	324.8	0	11.1	10.9	28	0.444	35.9
Ag(Nb0.5Ta0.5)O3	300	0.2	0.1	0.1	0.6	12	6	6	2	0.78	10.42	7.81	1.35	3.29	4.45	2.47	0.54	4.44	4	4.11	7.54	586	441	444	36.6	107.868	92.906	180.948	15.999	82.7	104.9	185.7	0	11.1	26.8	24.7	0.444	285
Dy2BaZnO5	29669	0.22	0.11	0.11	0.56	9	7	5	2	1.083	1.38	0.68	1.35	7.74	11.07	2.24	0.54	3.2	2.4	4.45	7.54	344	461	189	36.6	162.5	137.327	65.39	15.999	61.4	12.8	104.5	0	17.2	7.8	7.28	0.444	17.1
Ba(Yb0.5Ta0.5)O3	14000	0.2	0.1	0.1	0.6	12	6	6	2	1.24	1.008	7.81	1.35	11.07	7.26	2.47	0.54	2.4	3.5	4.11	7.54	461	401	444	36.6	137.327	173.04	180.948	15.999	12.8	23.9	185.7	0	7.8	9.2	24.7	0.444	22.1
Pr(Ti0.5W0.5)O4	6900	0.17	0.08	0.08	0.67	12	6	6	2	1.2	0.745	14.29	1.35	9.92	4.49	2.4	0.54	3	3.45	4.4	7.54	236	571	458	36.6	140.908	47.88	183.85	15.999	37.3	120.2	411	0	11.3	18.8	35	0.444	20.3
Sm(Ti0.5W0.5)O4	7100	0.17	0.08	0.08	0.67	12	6	6	2	1.32	0.745	14.29	1.35	8.62	4.49	2.4	0.54	3.1	3.45	4.4	7.54	284	571	458	36.6	150.36	47.88	183.85	15.999	49.7	120.2	411	0	10.9	18.8	35	0.444	21.5
SrDy4Si3O13	9200	0.05	0.19	0.14	0.62	9	8	4	2	0.131	1.027	0.26	1.35	7.6	7.74	2.19	0.54	2	3.2	4.77	7.54	373	344	189	36.6	87.62	162.5	28.086	15.999	15.7	61.4	113	0	8.2	17.2	50.6	0.444	9.6
Ba5Nb2Ta2O15	10600	0.21	0.08	0.08	0.62	12	6	6	2	1.61	0.64	0.64	1.35	11.07	4.45	2.47	0.54	2.4	4	4.11	7.54	461	441	444	36.6	137.327	92.906	180.948	15.999	12.8	104.9	185.7	0	7.8	26.8	24.7	0.444	27
Nd(Zr0.33Ti0.67)O3	15800	0.2	0.07	0.13	0.6	12	6	6	2	1.29	0.86	6.61	1.35	9.38	4.63	4.49	0.54	3	3.64	3.45	7.54	252	419	571	36.6	144.24	91.224	47.88	15.999	41.4	98	120.2	0	7.1	19.2	18.8	0.444	31.4
