formula	Qf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Aap	Bap	Cap	Dap	Aen	Ben	Cen	Den	Amac	Bmac	Cmac	Dmac	Aaw	Baw	Caw	Daw	Aym	Bym	Cym	Dym	Ame	Bme	Cme	Dme	eps
Pb0.6Ca0.4ZrO3	3600	0.12	0.08	0.2	0.6	12	12	6	2	1.49	1	0.72	1.35	4.16	6.22	4.63	0.54	3.9	2.2	3.64	7.54	579	468	419	36.6	207.2	40.078	91.224	15.999	16.1	19.6	98	0	4.81	8.6	19.2	0.444	94
SrSm4Si3O13	20800	0.05	0.19	0.14	0.62	9	8	4	2	0.131	1.079	0.26	1.35	7.6	8.62	2.19	0.54	2	3.1	4.77	7.54	373	284	189	36.6	87.62	150.36	28.086	15.999	15.7	49.7	113	0	8.2	10.9	50.6	0.444	13.5
Sr2MnSi2O7	32000	0.17	0.08	0.17	0.58	8	4	4	2	1.26	0.66	0.4	1.35	7.6	3.48	2.19	0.54	2	3.72	4.77	7.54	373	93	189	36.6	87.62	54.938	28.086	15.999	15.7	191	113	0	8.2	13.4	50.6	0.444	8.8
CaSmAlO4	51060	0.14	0.14	0.14	0.57	9	9	6	2	1.18	1.132	0.535	1.35	6.22	8.62	5.23	0.54	2.2	3.1	3.23	7.54	468	284	152	36.6	40.078	150.36	26.982	15.999	19.6	49.7	70.6	0	8.6	10.9	10.5	0.444	18.2
ZnTiNb2O8	42500	0.08	0.08	0.17	0.67	12	6	6	2	0.9	0.745	10.42	1.35	2.24	4.49	4.45	0.54	4.45	3.45	4	7.54	189	571	441	36.6	65.39	47.88	92.906	15.999	104.5	120.2	104.9	0	7.28	18.8	26.8	0.444	34
Mg0.4Zn0.6Al2O4	93000	0.06	0.09	0.29	0.57	4	4	6	2	0.57	0.6	0.535	1.35	3.18	2.24	5.23	0.54	8.3	4.45	3.23	7.54	121	189	152	36.6	24.305	65.39	26.982	15.999	44.7	104.5	70.6	0	8.9	7.28	10.5	0.444	8.3
Ca(Gd0.5Ta0.5)O3	26000	0.2	0.1	0.1	0.6	12	6	6	2	1.4	3.2	7.81	1.35	6.22	7.78	2.47	0.54	2.2	3.3	4.11	7.54	468	314	444	36.6	40.078	157.25	180.948	15.999	19.6	54.8	185.7	0	8.6	15.5	24.7	0.444	27.2
Ca0.99Mg0.01SiO3	62400	0.2	0	0.2	0.6	12	6	6	2	1.34	0.72	0.4	1.35	6.22	3.18	2.19	0.54	2.2	8.3	4.77	7.54	468	121	189	36.6	40.078	24.305	28.086	15.999	19.6	44.7	113	0	8.6	8.9	50.6	0.444	6.5
Ba2Ti3Nb4O18	23700	0.07	0.11	0.15	0.67	12	6	6	2	1.61	0.745	0.64	1.35	11.07	4.49	4.45	0.54	2.4	3.45	4	7.54	461	571	441	36.6	137.327	47.88	92.906	15.999	12.8	120.2	104.9	0	7.8	18.8	26.8	0.444	38
Ba4.2Nd9.2Ti18O54	8315	0.05	0.11	0.21	0.63	12	12	6	2	1.35	0.983	0.605	1.35	11.07	9.38	4.49	0.54	2.4	3	3.45	7.54	461	252	571	36.6	137.327	144.24	47.88	15.999	12.8	41.4	120.2	0	7.8	7.1	18.8	0.444	88
Ca(Ca0.33Nb0.67)O3	17000	0.2	0.07	0.13	0.6	12	6	6	2	1.4	2	10.42	1.35	6.22	6.22	4.45	0.54	2.2	2.2	4	7.54	468	468	441	36.6	40.078	40.078	92.906	15.999	19.6	19.6	104.9	0	8.6	8.6	26.8	0.444	28
Nd(W0.5Ti1.5)O6	26200	0.11	0.06	0.17	0.67	12	6	6	2	1.29	0.74	6.61	1.35	9.38	2.4	4.49	0.54	3	4.4	3.45	7.54	252	458	571	36.6	144.24	183.85	47.88	15.999	41.4	411	120.2	0	7.1	35	18.8	0.444	42
Ba0.4Sr0.6TiO3	1600	0.08	0.12	0.2	0.6	12	12	6	2	1.35	1.18	0.605	1.35	11.07	7.6	4.49	0.54	2.4	2	3.45	7.54	461	373	571	36.6	137.327	87.62	47.88	15.999	12.8	15.7	120.2	0	7.8	8.2	18.8	0.444	672
Te2(Mo0.95W0.05)O7	25800	0.2	0.1	0.01	0.7	4	5	5	2	0.66	0.5	0.51	1.35	2.22	4.08	2.4	0.54	5.49	3.9	4.4	7.54	707	163	458	36.6	127.6	95.94	183.85	15.999	47.1	324.8	411	0	34.98	28	35	0.444	13.9
MgTa1.5Nb0.5O6	33100	0.11	0.17	0.06	0.67	12	6	6	2	1.1	0.78	10.42	1.35	3.18	2.47	4.45	0.54	8.3	4.11	4	7.54	121	444	441	36.6	24.305	180.948	92.906	15.999	44.7	185.7	104.9	0	8.9	24.7	26.8	0.444	27.9
Ba0.5Sr0.5TiO3	2250	0.1	0.1	0.2	0.6	12	12	6	2	1.35	1.18	0.605	1.35	11.07	7.6	4.49	0.54	2.4	2	3.45	7.54	461	373	571	36.6	137.327	87.62	47.88	15.999	12.8	15.7	120.2	0	7.8	8.2	18.8	0.444	420
La(MgSn)0.5O3	63000	0.2	0.1	0.1	0.6	12	6	6	2	1.5	0.86	5.8	1.35	8.68	3.18	3.02	0.54	3.1	8.3	4.3	7.54	202	121	662	36.6	138.906	24.305	118.71	15.999	37.9	44.7	49.9	0	10	8.9	7.07	0.444	20.1
Ca2Al2SiO7	33000	0.17	0.17	0.08	0.58	8	4	4	2	1.12	0.39	0.4	1.35	6.22	5.23	2.19	0.54	2.2	3.23	4.77	7.54	468	152	189	36.6	40.078	26.982	28.086	15.999	19.6	70.6	113	0	8.6	10.5	50.6	0.444	8.4
SrTb4Si3O13	19300	0.05	0.19	0.14	0.62	9	8	4	2	0.131	1.04	0.26	1.35	7.6	7.91	2.19	0.54	2	3.2	4.77	7.54	373	329	189	36.6	87.62	158.925	28.086	15.999	15.7	55.7	113	0	8.2	16.3	50.6	0.444	14.3
Sr2Al2SiO7	33000	0.17	0.17	0.08	0.58	8	4	4	2	1.26	0.39	0.4	1.35	7.6	5.23	2.19	0.54	2	3.23	4.77	7.54	373	152	189	36.6	87.62	26.982	28.086	15.999	15.7	70.6	113	0	8.2	10.5	50.6	0.444	7
LiYW2O8	9550	0.08	0.08	0.17	0.67	8	8	6	2	0.92	1.019	0.6	1.35	9.1	5.57	2.4	0.54	3.01	3.19	4.4	7.54	1.96	396	458	36.6	6.941	88.906	183.85	15.999	4.9	66.3	411	0	2.93	11.5	35	0.444	14.8
Li2Mg2(WO4)3	29600	0.11	0.11	0.16	0.63	6	6	6	2	0.76	0.72	0.6	1.35	9.1	3.18	2.4	0.54	3.01	8.3	4.4	7.54	1.96	121	458	36.6	6.941	24.305	183.85	15.999	4.9	44.7	411	0	2.93	8.9	35	0.444	7.7
La5Mg0.5Ti3.5O15	31000	0.21	0.02	0.15	0.62	12	6	6	2	1.5	0.86	6.61	1.35	8.68	3.18	4.49	0.54	3.1	8.3	3.45	7.54	202	121	571	36.6	138.906	24.305	47.88	15.999	37.9	44.7	120.2	0	10	8.9	18.8	0.444	34
(K0.5Sm0.5)MoO4	20000	0.08	0.08	0.17	0.67	8	8	4	2	1.51	1.079	0.59	1.35	19.69	8.62	4.08	0.54	2.42	3.1	3.9	7.54	417	284	163	36.6	39.098	150.36	95.94	15.999	3.5	49.7	324.8	0	2.39	10.9	28	0.444	9.7
Sr(In0.5Nb0.5)O3	32700	0.2	0.1	0.1	0.6	12	6	6	2	1.44	3.75	10.42	1.35	7.6	5.01	4.45	0.54	2	3.1	4	7.54	373	638	441	36.6	87.62	114.82	92.906	15.999	15.7	10.6	104.9	0	8.2	3.26	26.8	0.444	26
CoCu2Nb2O8	36800	0.08	0.15	0.15	0.62	6	6	6	2	0.65	0.57	0.48	1.35	3.01	3.01	4.45	0.54	4.3	4.48	4	7.54	125	166	441	36.6	58.933	63.546	92.906	15.999	211	129.8	104.9	0	16.3	13	26.8	0.444	16.6
LiMgVO4	34800	0.14	0.14	0.14	0.57	4	6	4	2	0.59	0.72	0.355	1.35	9.1	3.18	4.48	0.54	3.01	8.3	3.6	7.54	1.96	121	68.4	36.6	6.941	24.305	50.942	15.999	4.9	44.7	127.6	0	2.93	8.9	17.5	0.444	9.5
Ba0.8Sr0.2TiO3	850	0.16	0.04	0.2	0.6	12	12	6	2	1.35	1.18	0.605	1.35	11.07	7.6	4.49	0.54	2.4	2	3.45	7.54	461	373	571	36.6	137.327	87.62	47.88	15.999	12.8	15.7	120.2	0	7.8	8.2	18.8	0.444	560
Ba(Ni0.5W0.5)O3	36300	0.2	0.1	0.1	0.6	12	6	6	2	1.24	0.83	14.29	1.35	11.07	3.12	2.4	0.54	2.4	4.4	4.4	7.54	461	144	458	36.6	137.327	58.69	183.85	15.999	12.8	199.5	411	0	7.8	17.2	35	0.444	17.1
(Li0.5Yb0.5)MoO4	6350	0.08	0.08	0.17	0.67	8	8	4	2	0.92	0.985	0.59	1.35	9.1	7.26	4.08	0.54	3.01	3.5	3.9	7.54	1.96	401	163	36.6	6.941	173.04	95.94	15.999	4.9	23.9	324.8	0	2.93	9.2	28	0.444	16.3
