formula	tf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Av	Bv	Cv	Dv	Air	Bir	Cir	Dir	Aav	Bav	Cav	Dav	Aced	Bced	Cced	Dced	Acp	Bcp	Ccp	Dcp eps
Mg(Ti0.95Sn0.05)O3	-53	0.2	0.19	0.01	0.6	6	6	6	2	2	4	4	-2	0.72	0.605	0.69	1.35	2.324	1.764	2.705	1.736	1.09	0.91	1.41	0.85	3.45	3.8	4.15	0	16.7
(Mg0.95Mn0.05)2TiO4	-53	0.27	0.01	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.67	0.605	1.35	2.324	1.22	1.764	1.736	1.09	0.79	0.91	0.85	3.45	4.45	3.8	0	15.7
Sr(Zn0.33Ta0.67)O3	-54	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.44	0.88	7.81	1.35	5.632	1.521	1.801	1.736	1.39	1.25	0.95	0.85	2.4	4.1	4.05	0	28
(Mg0.5Co0.5)Al2O4	-54	0.07	0.07	0.29	0.57	6	6	6	2	2	2	3	-2	0.72	0.65	0.535	1.35	2.324	1.108	1.66	1.736	1.09	0.71	1.25	0.85	3.45	5.1	4.2	0	8.8
Mg(Sn0.05Ti0.95)O3	-54	0.2	0.01	0.19	0.6	6	6	6	2	2	4	4	-2	0.72	0.69	0.605	1.35	2.324	2.705	1.764	1.736	1.09	1.41	0.91	0.85	3.45	4.15	3.8	0	17.4
(Mg0.95Co0.05)TiO3	-54	0.19	0.01	0.2	0.6	6	6	6	2	2	2	4	-2	0.72	0.65	0.605	1.35	2.324	1.108	1.764	1.736	1.09	0.71	0.91	0.85	3.45	5.1	3.8	0	16.8
Ba(Co0.5W0.5)O3	-55	0.2	0.1	0.1	0.6	12	6	6	2	2	2	6	-2	1.24	2.99	14.29	1.35	6.299	1.108	1.586	1.736	1.44	0.71	0.92	0.85	2.32	5.1	4.8	0	19.3
Yb2BaCuO5	-55	0.22	0.11	0.11	0.56	11	7	5	2	3	2	2	-2	1.042	1.38	0.73	1.35	4.128	6.299	1.181	1.736	1	1.44	1.12	0.85	3.22	2.32	4.45	0	7.9
Sr(Gd0.5Nb0.5)O3	-56	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.2	10.42	1.35	5.632	3.31	1.807	1.736	1.39	1.09	0.95	0.85	2.4	3.2	4.05	0	34
Nd(Mg0.5Sn0.5)O3	-57	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.29	0.86	5.8	1.35	3.418	2.324	2.705	1.736	1.17	1.09	1.41	0.85	3.19	3.45	4.15	0	19.3
Mg3Yb4Al44O75	-57	0.02	0.03	0.35	0.6	6	6	6	2	2	3	3	-2	0.72	1.02	0.535	1.35	2.324	4.128	1.66	1.736	1.09	1	1.25	0.85	3.45	3.22	4.2	0	10.3
(Mg0.9Mn0.1)2TiO4	-57	0.26	0.03	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.67	0.605	1.35	2.324	1.22	1.764	1.736	1.09	0.79	0.91	0.85	3.45	4.45	3.8	0	15.5
Sr2MnSi2O7	-57	0.17	0.08	0.17	0.58	8	4	4	2	2	2	4	-2	1.26	0.66	0.4	1.35	5.632	1.22	2.002	1.736	1.39	0.79	1.18	0.85	2.4	4.45	4.7	0	8.8
La(Co0.5Ti0.5)O3	-57	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.5	2.99	6.61	1.35	3.741	1.108	1.764	1.736	1.34	0.71	0.91	0.85	3.17	5.1	3.8	0	23
SmZrTaO6	-58	0.11	0.11	0.11	0.67	12	6	6	2	3	4	5	-2	1.32	0.86	7.81	1.35	3.318	2.328	1.801	1.736	1.11	0.98	0.95	0.85	3.2	3.45	4.05	0	21.2
(Zn0.3Co0.7)TiO3	-60	0.06	0.14	0.2	0.6	12	6	6	2	2	2	4	-2	0.9	2.99	6.61	1.35	1.521	1.108	1.764	1.736	1.25	0.71	0.91	0.85	4.1	5.1	3.8	0	22
Sr2ZnSi2O7	-60	0.17	0.08	0.17	0.58	8	4	4	2	2	2	4	-2	1.26	0.6	0.4	1.35	5.632	1.521	2.002	1.736	1.39	1.25	1.18	0.85	2.4	4.1	4.7	0	8.4
Sr2Al2SiO7	-60	0.17	0.17	0.08	0.58	8	4	4	2	2	3	4	-2	1.26	0.39	0.4	1.35	5.632	1.66	2.002	1.736	1.39	1.25	1.18	0.85	2.4	4.2	4.7	0	7
Mg2Si0.9Ti0.1O4	-60	0.29	0.13	0.01	0.57	6	6	6	2	2	4	4	-2	0.72	0.4	0.605	1.35	2.324	2.002	1.764	1.736	1.09	1.18	0.91	0.85	3.45	4.7	3.8	0	7.4
Ca(Mg0.33Ta0.67)O3	-61	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.4	0.86	7.81	1.35	4.633	2.324	1.801	1.736	1.25	1.09	0.95	0.85	2.55	3.45	4.05	0	21
CaMgSi2O6	-62	0.1	0.1	0.2	0.6	8	6	4	2	2	2	4	-2	1.12	0.72	0.4	1.35	4.633	2.324	2.002	1.736	1.25	1.09	1.18	0.85	2.55	3.45	4.7	0	7
(K0.5Nd0.5)MoO4	-62	0.08	0.08	0.17	0.67	8	8	4	2	1	3	6	-2	1.51	1.109	0.59	1.35	7.572	3.418	1.558	1.736	1.32	1.17	0.9	0.85	2.25	3.19	4.65	0	9.9
Sr(In0.5Nb0.5)O3	-62	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.75	10.42	1.35	5.632	2.617	1.807	1.736	1.39	1.49	0.95	0.85	2.4	3.9	4.05	0	26
(Mg0.95Ni0.05)2SnO4	-63	0.27	0.01	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.69	0.69	1.35	2.324	1.093	2.705	1.736	1.09	1.13	1.41	0.85	3.45	5.2	4.15	0	8.7
YbTiNbO6	-63	0.11	0.11	0.11	0.67	6	6	6	2	3	4	5	-2	0.868	0.605	0.64	1.35	4.128	1.764	1.807	1.736	1	0.91	0.95	0.85	3.22	3.8	4.05	0	22
SrLa4Si3O13	-64	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	1.31	1.16	0.4	1.35	5.632	3.741	2.002	1.736	1.39	1.34	1.18	0.85	2.4	3.17	4.7	0	14.2
Sr2CaSi2O7	-64	0.17	0.08	0.17	0.58	8	4	4	2	2	2	4	-2	1.26	1	0.26	1.35	5.632	4.633	2.002	1.736	1.39	1.25	1.18	0.85	2.4	2.55	4.7	0	11
Mg3CoNb2O9	-64	0.2	0.07	0.13	0.6	6	4	6	2	2	2	5	-2	0.72	0.65	0.64	1.35	2.324	1.108	1.807	1.736	1.09	0.71	0.95	0.85	3.45	5.1	4.05	0	12.3
(K0.5Sm0.5)MoO4	-65	0.08	0.08	0.17	0.67	8	8	4	2	1	3	6	-2	1.51	1.079	0.59	1.35	7.572	3.318	1.558	1.736	1.32	1.11	0.9	0.85	2.25	3.2	4.65	0	9.7
La(Mg0.67Ta0.33)O3	-65	0.2	0.13	0.07	0.6	12	6	6	2	3	2	5	-2	1.5	0.86	7.81	1.35	3.741	2.324	1.801	1.736	1.34	1.09	0.95	0.85	3.17	3.45	4.05	0	24.7
Sr(Ho0.5Nb0.5)O3	-65	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.33	10.42	1.35	5.632	3.112	1.807	1.736	1.39	1.04	0.95	0.85	2.4	3.22	4.05	0	32
Ca(Co0.33Nb0.67)O3	-65	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.4	2.99	10.42	1.35	4.633	1.108	1.807	1.736	1.25	0.71	0.95	0.85	2.55	5.1	4.05	0	29
Ca(Co0.33Ta0.67)O3	-65	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.4	2.99	7.81	1.35	4.633	1.108	1.801	1.736	1.25	0.71	0.95	0.85	2.55	5.1	4.05	0	23
Ca(Zn0.33Ta0.67)O3	-66	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.4	0.88	7.81	1.35	4.633	1.521	1.801	1.736	1.25	1.25	0.95	0.85	2.55	4.1	4.05	0	25
Sr(Gd0.5Ta0.5)O3	-66	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.2	7.81	1.35	5.632	3.31	1.801	1.736	1.39	1.09	0.95	0.85	2.4	3.2	4.05	0	30
Sr(Er0.5Nb0.5)O3	-67	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.37	10.42	1.35	5.632	3.064	1.807	1.736	1.39	1.02	0.95	0.85	2.4	3.22	4.05	0	32
(Mg0.95Zn0.05)4Nb2O9	-67	0.25	0.01	0.13	0.6	6	6	6	2	2	2	5	-2	0.72	0.74	0.64	1.35	2.324	1.521	1.807	1.736	1.09	1.25	0.95	0.85	3.45	4.1	4.05	0	13
SrCuP2O7	-70	0.09	0.09	0.18	0.64	9	5	4	2	2	2	5	-2	1.31	0.65	0.38	1.35	5.632	1.181	1.899	1.736	1.39	1.12	1.09	0.85	2.4	4.45	5.55	0	7
Sr(Co0.33Ta0.67)O3	-71	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.44	2.99	7.81	1.35	5.632	1.108	1.801	1.736	1.39	0.71	0.95	0.85	2.4	5.1	4.05	0	23
Mg1.975Mn.025SiO4	-71	0.28	0	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	0.67	0.4	1.35	2.324	1.22	2.002	1.736	1.09	0.79	1.18	0.85	3.45	4.45	4.7	0	6.71
Mg1.93Ca0.07SiO4	-72	0.28	0.01	0.14	0.57	6	6	6	2	2	2	4	-2	0.72	1.18	0.4	1.35	2.324	4.633	2.002	1.736	1.09	1.25	1.18	0.85	3.45	2.55	4.7	0	6.9
Li3InMo3O12	-73	0.16	0.05	0.16	0.63	6	6	6	2	1	3	6	-2	0.76	0.92	0.59	1.35	2.162	2.617	1.558	1.736	1.75	1.49	0.9	0.85	2.85	3.9	4.65	0	9.8
Zn(Nb0.94V0.06)2O6	-73	0.11	0.21	0.01	0.67	12	6	6	2	2	5	5	-2	0.9	10.42	9.26	1.35	1.521	1.807	1.392	1.736	1.25	0.95	0.86	0.85	4.1	4.05	4.25	0	23.9
Li3AlMo3O12	-73	0.16	0.05	0.16	0.63	6	6	6	2	1	3	6	-2	0.76	0.535	0.59	1.35	2.162	1.66	1.558	1.736	1.75	1.25	0.9	0.85	2.85	4.2	4.65	0	9.5
Sr(Co0.5W0.5)O3	-73	0.2	0.1	0.1	0.6	12	6	6	2	2	2	6	-2	1.44	2.99	14.29	1.35	5.632	1.108	1.586	1.736	1.39	0.71	0.92	0.85	2.4	5.1	4.8	0	21.2
Sr(Ho0.5Ta0.5)O3	-75	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.44	3.33	7.81	1.35	5.632	3.112	1.801	1.736	1.39	1.04	0.95	0.85	2.4	3.22	4.05	0	28
SrZnP2O7	-76	0.09	0.09	0.18	0.64	8	5	4	2	2	2	5	-2	1.26	0.68	0.38	1.35	5.632	1.521	1.899	1.736	1.39	1.25	1.09	0.85	2.4	4.1	5.55	0	7.1
ZnCu2Nb2O8	-77	0.08	0.15	0.15	0.62	6	6	6	2	2	2	5	-2	0.74	0.57	0.48	1.35	1.521	1.181	1.807	1.736	1.25	1.12	0.95	0.85	4.1	4.45	4.05	0	16.7
Ba3Nb2P4O18	-77	0.11	0.07	0.15	0.67	10	6	4	2	2	5	5	-2	1.66	0.48	0.38	1.35	6.299	1.807	1.899	1.736	1.44	0.95	1.09	0.85	2.32	4.05	5.55	0	10
Ca(Ga0.5Ta0.5)O3	-81	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	4.84	7.81	1.35	4.633	1.947	1.801	1.736	1.25	1.38	0.95	0.85	2.55	4.1	4.05	0	25
CaZnP2O7	-82	0.09	0.09	0.18	0.64	12	5	4	2	2	2	5	-2	1.34	0.68	0.17	1.35	4.633	1.521	1.899	1.736	1.25	1.25	1.09	0.85	2.55	4.1	5.55	0	7.6
Ca(Al0.5Ta0.5)O3	-90	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	5.61	7.81	1.35	4.633	1.66	1.801	1.736	1.25	1.25	0.95	0.85	2.55	4.2	4.05	0	20
Ba5.1Sm8.6Ti18O54	-135	0.06	0.1	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.958	0.605	1.35	6.299	3.318	1.764	1.736	1.44	1.11	0.91	0.85	2.32	3.2	3.8	0	85.9
