formula	tf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Av	Bv	Cv	Dv	Air	Bir	Cir	Dir	Aav	Bav	Cav	Dav	Aced	Bced	Cced	Dced	Acp	Bcp	Ccp	Dcp eps
Ba(Nd0.5Ta0.5)O3	2.9	0.2	0.1	0.1	0.6	12	6	6	2	2	3	3	-2	1.24	1.123	7.81	1.35	6.299	3.418	1.801	1.736	1.44	1.17	0.95	0.85	2.32	3.19	4.05	0	36
Li2MgTi3O8	2	0.14	0.07	0.21	0.57	8	6	6	2	1	2	4	-2	1.06	0.86	6.61	1.35	2.162	2.324	1.764	1.736	1.75	1.09	0.91	0.85	2.85	3.45	3.8	0	23
Ba(Zn0.33Ta0.67)O3	1	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.24	0.88	7.81	1.35	6.299	1.521	1.801	1.736	1.44	1.25	0.95	0.85	2.32	4.1	4.05	0	28
La2BaZnO5	-0.9	0.22	0.11	0.11	0.56	12	6	6	2	3	2	2	-2	1.5	1.48	2.7	1.35	3.741	6.299	1.521	1.736	1.34	1.44	1.25	0.85	3.17	2.32	4.1	0	20.3
MgTa1.5Nb0.5O6	-1	0.11	0.17	0.06	0.67	12	6	6	2	2	5	5	-2	1.1	0.78	10.42	1.35	2.324	1.801	1.807	1.736	1.09	0.95	0.95	0.85	3.45	4.05	4.05	0	27.9
Sm(W0.5Ti1.5)O6	-1	0.11	0.06	0.17	0.67	12	6	6	2	3	6	4	-2	1.32	0.74	6.61	1.35	3.318	1.586	1.764	1.736	1.11	0.92	0.91	0.85	3.2	4.8	3.8	0	39.4
Eu2BaCuO5	-2	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.13	1.38	0.73	1.35	4.813	6.299	1.181	1.736	1.1	1.44	1.12	0.85	3.2	2.32	4.45	0	17.1
Ba(Tb0.5Nb0.5)O3	-2	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	1.063	10.42	1.35	6.299	3.213	1.807	1.736	1.44	1.08	0.95	0.85	2.32	3.21	4.05	0	39
Sr5Nb2Ta2O15	-2	0.21	0.08	0.08	0.62	12	6	6	2	2	5	5	-2	1.58	0.64	0.64	1.35	5.632	1.807	1.801	1.736	1.39	0.95	0.95	0.85	2.4	4.05	4.05	0	33.2
CaNdAlO4	-3	0.14	0.14	0.14	0.57	9	9	6	2	2	3	3	-2	1.18	1.303	0.535	1.35	4.633	3.418	1.66	1.736	1.25	1.17	1.25	0.85	2.55	3.19	4.2	0	18.2
Mg0.95Ca0.05TiO3	-3	0.19	0.01	0.2	0.6	12	6	6	2	2	2	4	-2	1.1	2	6.61	1.35	2.324	4.633	1.764	1.736	1.09	1.25	0.91	0.85	3.45	2.55	3.8	0	20
Ba3LaTa3O12	-3	0.16	0.05	0.16	0.63	12	12	6	2	2	3	5	-2	1.61	1.36	0.64	1.35	6.299	3.741	1.801	1.736	1.44	1.34	0.95	0.85	2.32	3.17	4.05	0	36.8
MgTa1.4Nb0.6O6	-3	0.11	0.16	0.07	0.67	12	6	6	2	2	5	5	-2	1.1	0.78	10.42	1.35	2.324	1.801	1.807	1.736	1.09	0.95	0.95	0.85	3.45	4.05	4.05	0	27.3
Ba8Li2Ta6O24	-3	0.2	0.05	0.15	0.6	12	6	6	2	2	4	5	-2	1.61	0.76	0.64	1.35	6.299	2.162	1.801	1.736	1.44	1.75	0.95	0.85	2.32	2.85	4.05	0	28
SrNd2Al2O7	-4	0.08	0.17	0.17	0.58	12	6	6	2	2	3	3	-2	1.44	1.123	5.61	1.35	5.632	3.418	1.66	1.736	1.39	1.17	1.25	0.85	2.4	3.19	4.2	0	20.5
Ba(Dy0.5Nb0.5)O3	-4	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	1.87	10.42	1.35	6.299	3.152	1.807	1.736	1.44	1.07	0.95	0.85	2.32	3.21	4.05	0	38.9
Er2BaZnO5	-5	0.22	0.11	0.11	0.56	9	7	5	2	3	2	2	-2	1.062	1.38	0.68	1.35	3.064	6.299	1.521	1.736	1.02	1.44	1.25	0.85	3.22	2.32	4.1	0	16.3
NaAlSi3O8	-5	0.08	0.08	0.23	0.62	7	4	4	2	1	3	4	-2	1.12	0.39	0.26	1.35	3.926	1.66	2.002	1.736	1.07	1.25	1.18	0.85	2.7	4.2	4.7	0	5.5
BiNb0.95Sb0.05O4	-5	0.17	0.16	0.01	0.67	6	6	6	2	3	5	5	-2	1.17	10.42	8.33	1.35	3.538	1.807	2.997	1.736	1.38	0.95	1.32	0.85	4.15	4.05	4.4	0	44.5
Dy(Mg0.5Ti0.5)O3	-6	0.2	0.1	0.1	0.6	12	6	6	2	3	2	4	-2	1.052	0.86	6.61	1.35	3.152	2.324	1.764	1.736	1.07	1.09	0.91	0.85	3.21	3.45	3.8	0	23
Tb(Ti0.5W0.5)O4	-6	0.17	0.08	0.08	0.67	12	6	6	2	3	4	6	-2	1.1	0.745	14.29	1.35	3.213	1.764	1.586	1.736	1.08	0.91	0.92	0.85	3.21	3.8	4.8	0	19.1
Sm2BaZnO5	-6	0.22	0.11	0.11	0.56	12	6	6	2	3	2	2	-2	1.32	1.48	2.7	1.35	3.318	6.299	1.521	1.736	1.11	1.44	1.25	0.85	3.2	2.32	4.1	0	18.5
LiYW2O8	-6	0.08	0.08	0.17	0.67	8	8	6	2	1	3	6	-2	0.92	1.019	0.6	1.35	2.162	3.318	1.586	1.736	1.75	1.22	0.92	0.85	2.85	3.2	4.8	0	14.8
Ba(Pr0.5Ta0.5)O3	-8	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	1.13	7.81	1.35	6.299	3.456	1.801	1.736	1.44	1.2	0.95	0.85	2.32	3.19	4.05	0	38.5
Ba(La0.5Nb0.5)O3	-8	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	1.172	10.42	1.35	6.299	3.741	1.807	1.736	1.44	1.34	0.95	0.85	2.32	3.17	4.05	0	37.4
HoTiTaO6	-8	0.11	0.11	0.11	0.67	12	6	6	2	3	4	5	-2	1.26	0.745	7.81	1.35	3.112	1.764	1.801	1.736	1.04	0.91	0.95	0.85	3.22	3.8	4.05	0	23.1
SrLa4Ti5O15	-8.4	0.04	0.16	0.2	0.6	6	6	6	2	2	2	4	-2	1.18	1.032	0.605	1.35	5.632	3.741	1.764	1.736	1.39	1.34	0.91	0.85	2.4	3.17	3.8	0	44
SrLi2Ti6O14	-9	0.04	0.09	0.26	0.61	11	8	6	2	2	1	4	-2	1.4	0.92	0.605	1.35	5.632	2.162	1.764	1.736	1.39	1.75	0.91	0.85	2.4	2.85	3.8	0	33.6
SrPr4Si3O13	-9	0.05	0.19	0.14	0.62	9	8	4	2	2	3	4	-2	0.131	1.179	0.26	1.35	5.632	3.456	2.002	1.736	1.39	1.2	1.18	0.85	2.4	3.19	4.7	0	15.6
Ba(Ho0.5Nb0.5)O3	-11	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.24	3.33	10.42	1.35	6.299	3.112	1.807	1.736	1.44	1.04	0.95	0.85	2.32	3.22	4.05	0	38
Li8Bi2Mo7O28	-12	0.18	0.04	0.16	0.62	5	8	6	2	1	3	6	-2	0.76	1.17	0.64	1.35	2.162	3.538	1.558	1.736	1.75	1.38	0.9	0.85	2.85	4.15	4.65	0	13.6
Ba(Co0.33Nb0.67)O3	-12	0.2	0.07	0.13	0.6	12	6	6	2	2	2	5	-2	1.24	2.99	10.42	1.35	6.299	1.108	1.807	1.736	1.44	0.71	0.95	0.85	2.32	5.1	4.05	0	32
Ca(Tb0.5Nb0.5)O3	-13	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.063	10.42	1.35	4.633	3.213	1.807	1.736	1.25	1.08	0.95	0.85	2.55	3.21	4.05	0	26.5
Ca(Y0.5Nb0.5)O3	-13	0.2	0.1	0.1	0.6	12	6	6	2	2	3	5	-2	1.4	1.04	10.42	1.35	4.633	3.318	1.807	1.736	1.25	1.22	0.95	0.85	2.55	3.2	4.05	0	31
Sm(Ti0.5W0.5)O4	-14	0.17	0.08	0.08	0.67	12	6	6	2	3	4	6	-2	1.32	0.745	14.29	1.35	3.318	1.764	1.586	1.736	1.11	0.91	0.92	0.85	3.2	3.8	4.8	0	21.5
SrLa4Ti4O15	-14	0.04	0.17	0.17	0.62	12	12	6	2	2	2	4	-2	1.58	1.5	0.605	1.35	5.632	3.741	1.764	1.736	1.39	1.34	0.91	0.85	2.4	3.17	3.8	0	43.8
Ba2CeV3O11	-14	0.12	0.06	0.18	0.65	9	6	6	2	2	2	5	-2	1.47	1.01	0.54	1.35	6.299	3.478	1.392	1.736	1.44	1.23	0.86	0.85	2.32	3.18	4.25	0	13.8
Ba3Sr2Ta4O15	-15	0.12	0.08	0.17	0.62	12	6	6	2	2	2	5	-2	1.24	1.32	7.81	1.35	6.299	5.632	1.801	1.736	1.44	1.39	0.95	0.85	2.32	2.4	4.05	0	34.3
Bi(Sb0.6Ta0.4)O4	-15	0.17	0.1	0.07	0.67	6	6	6	2	3	5	5	-2	1.17	0.8	7.81	1.35	3.538	2.997	1.801	1.736	1.38	1.32	0.95	0.85	4.15	4.4	4.05	0	27
